Russia,964,875
Azerbaijan,3,69
Peru,98,84
Cote d'Ivoire,0,50
Ghana,20,44
Mali,0,28
Burkina Faso,2,33
Benin,0,41
Senegal,4,66
Togo,0,20
Niger,0,17
Colombia,233,120
Ecuador,55,41
Italy,425,1351
France,483,1443
United Kingdom,309,2354
Switzerland,10,419
Cyprus,0,149
Spain,579,1951
Egypt,39,266
Sweden,167,307
Finland,56,163
Norway,302,341
United States,10518,2503
Philippines,240,155
United Arab Emirates,9,739
Brazil,1195,200
Gambia,0,13
Guinea,0,18
Cameroon,19,53
Sierra Leone,0,22
Nigeria,62,64
Guinea-Bissau,0,7
Liberia,0,18
Canada,1167,682
Djibouti,0,23
Somalia,17,15
Kenya,68,133
Thailand,202,403
Australia,776,336
China,6877,1192
Hong Kong,0,354
Japan,623,658
Malaysia,256,307
Cambodia,7,65
Burma,63,41
Vietnam,126,161
Singapore,0,408
Taiwan,26,385
Germany,212,2140
Austria,15,373
Croatia,22,182
Bahamas,62,85
Netherlands,4,566
Belgium,1,411
Morocco,21,288
Turkey,306,670
Aruba,0,44
Netherlands Antilles,14,87
Venezuela,125,66
Uzbekistan,21,120
Montenegro,0,27
Antigua and Barbuda,0,35
French Guiana,0,7
Dominica,0,17
Martinique,0,23
Guadeloupe,6,27
Dominican Republic,5,159
Saint Lucia,0,30
South Korea,82,505
Northern Mariana Islands,2,10
Israel,12,135
Bangladesh,33,71
India,1057,449
Saudi Arabia,155,397
Nepal,18,35
Oman,4,108
Argentina,166,89
Mexico,577,484
Guatemala,2,38
Cuba,18,78
Costa Rica,55,67
Afghanistan,14,29
Pakistan,116,166
Serbia,0,106
Macedonia,0,23
Algeria,86,130
Greece,235,552
Hungary,0,100
Ireland,4,291
Portugal,101,429
Poland,24,339
Czech Republic,4,188
Bosnia and Herzegovina,2,20
Tunisia,17,177
Panama,9,108
Nicaragua,0,15
South Sudan,0,12
Tanzania,34,42
Brunei,0,23
Indonesia,611,220
Macau,0,79
Saint Kitts and Nevis,4,15
Chile,97,60
Paraguay,4,18
Uruguay,0,26
Belize,4,17
Honduras,23,44
South Africa,119,149
Georgia,3,45
Denmark,23,286
Armenia,0,46
Latvia,0,101
Guam,0,35
Jamaica,3,72
Haiti,2,25
Suriname,0,10
Trinidad and Tobago,2,37
Kazakhstan,106,101
Tajikistan,0,96
Kyrgyzstan,6,70
Iran,304,121
Ukraine,28,185
Libya,21,63
Jordan,2,110
Anguilla,0,6
Puerto Rico,14,102
British Virgin Islands,0,16
Virgin Islands,4,39
Turks and Caicos Islands,10,28
Moldova,0,34
Romania,27,151
Bahrain,0,84
Sri Lanka,13,101
Qatar,0,189
Kuwait,0,120
Bulgaria,6,83
Albania,0,36
Bolivia,81,23
Uganda,4,31
New Zealand,114,104
Bermuda,0,15
Barbados,0,23
Cayman Islands,6,23
Gibraltar,0,6
Grenada,0,14
Luxembourg,0,70
Fiji,28,41
French Polynesia,91,17
El Salvador,0,53
Guernsey,2,18
Jersey,0,38
Malta,0,113
Ethiopia,32,95
Burundi,0,13
Congo (Kinshasa),39,26
Rwanda,2,39
Angola,45,33
Lithuania,0,80
Lebanon,0,67
Central African Republic,0,3
Congo (Brazzaville),10,34
Mayotte,0,15
Comoros,0,10
Zimbabwe,6,31
Gabon,0,25
Slovenia,0,33
Malawi,2,15
Laos,20,30
Zambia,12,41
Mauritius,2,40
Chad,0,9
Mauritania,6,13
Palau,0,10
Reunion,0,22
Equatorial Guinea,2,14
Madagascar,42,25
Maldives,16,40
Western Sahara,0,7
Cape Verde,21,37
Iceland,6,46
Belarus,0,54
Estonia,2,39
Sudan,17,35
Seychelles,2,12
Turkmenistan,0,15
Isle of Man,0,11
Namibia,13,19
Botswana,8,14
Guyana,0,9
North Korea,0,5
Mongolia,21,13
Papua New Guinea,138,17
Slovakia,3,23
Sao Tome and Principe,0,3
Iraq,0,76
Yemen,35,58
Mozambique,38,23
Samoa,0,5
Kiribati,0,7
Tuvalu,0,1
Solomon Islands,46,8
Tonga,0,5
Vanuatu,80,16
Greenland,53,3
Cook Islands,13,8
American Samoa,0,1
Eritrea,1,7
Bhutan,0,5
Falkland Islands,0,1
Saint Vincent and the Grenadines,0,4
East Timor,0,4
New Caledonia,23,13
Niue,0,1
Norfolk Island,0,3
Nauru,0,3
Marshall Islands,2,5
Saint Pierre and Miquelon,0,3
Faroe Islands,0,4
Lesotho,0,1
Swaziland,0,1
Wallis and Futuna,2,2
Micronesia,4,5
Cocos (Keeling) Islands,0,1
Christmas Island,0,2
